,config,filename,Number of predicate,Number of test case,Accuracy,Time,Memory
56,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_57.txt,100,570,1.000000,5731,891289600
57,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_58.txt,100,580,0.764706,6918,2350026032
58,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_59.txt,100,590,0.961538,6408,1943208480
59,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_60.txt,100,600,1.000000,5491,901773312
60,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_61.txt,100,610,0.862069,6387,3212705216
61,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_62.txt,100,620,1.000000,6917,1688722624
62,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_63.txt,100,630,1.000000,5882,986246192
63,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_64.txt,100,640,1.000000,7357,2844342656
64,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_65.txt,100,650,0.833333,8026,1349943936
65,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_66.txt,100,660,0.925926,6717,1833532088
66,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_67.txt,100,670,1.000000,7828,1424729856
67,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_68.txt,100,680,0.675676,7991,4477116024
68,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_69.txt,100,690,1.000000,7407,3646659648
69,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_70.txt,100,700,0.928571,6712,1567157600
70,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_71.txt,100,710,0.806452,6972,1542024128
71,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_72.txt,100,720,1.000000,8784,1233894384
72,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_73.txt,100,730,0.694444,7621,2493228184
73,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_74.txt,100,740,0.641026,9278,5381289984
74,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_75.txt,100,750,1.000000,9532,4643868736
75,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_76.txt,100,760,1.000000,7394,1283055992
76,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_77.txt,100,770,0.962963,8897,3867940824
77,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_78.txt,100,780,1.000000,8511,1442771216
78,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_79.txt,100,790,0.625000,8508,3284491456
79,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_80.txt,100,800,1.000000,9930,5177868288
80,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_81.txt,100,810,0.675676,9830,6255804416
81,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_82.txt,100,820,1.000000,9340,3789052976
82,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_83.txt,100,830,0.962963,10090,5126217840
83,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_84.txt,100,840,0.833333,9694,4492881888
84,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_85.txt,100,850,0.862069,9127,2674716160
85,"k = 25, dslimit = 0.010000, sizeLimit = 2",n_data/data_86.txt,100,860,0.892857,9584,4083464600
