,k,dslimit,sizeLimit,neg_sup,filename,Number of predicate,Number of test case,Accuracy,Time,Memory
71,25,0.010000,5,71,generated_data/data_neg_sup.txt,50,500,1.000000,709,144703488
72,25,0.010000,5,72,generated_data/data_neg_sup.txt,50,500,1.000000,598,144703488
73,25,0.010000,5,73,generated_data/data_neg_sup.txt,50,500,1.000000,575,144703488
74,25,0.010000,5,74,generated_data/data_neg_sup.txt,50,500,1.000000,545,144703488
75,25,0.010000,5,75,generated_data/data_neg_sup.txt,50,500,1.000000,488,144703488
76,25,0.010000,5,76,generated_data/data_neg_sup.txt,50,500,1.000000,641,144703488
77,25,0.010000,5,77,generated_data/data_neg_sup.txt,50,500,1.000000,569,144703488
78,25,0.010000,5,78,generated_data/data_neg_sup.txt,50,500,1.000000,760,144703488
79,25,0.010000,5,79,generated_data/data_neg_sup.txt,50,500,1.000000,524,144703488
80,25,0.010000,5,80,generated_data/data_neg_sup.txt,50,500,1.000000,564,144703488
81,25,0.010000,5,81,generated_data/data_neg_sup.txt,50,500,1.000000,594,144703488
82,25,0.010000,5,82,generated_data/data_neg_sup.txt,50,500,1.000000,620,144703488
83,25,0.010000,5,83,generated_data/data_neg_sup.txt,50,500,1.000000,560,144703488
84,25,0.010000,5,84,generated_data/data_neg_sup.txt,50,500,1.000000,548,144703488
85,25,0.010000,5,85,generated_data/data_neg_sup.txt,50,500,1.000000,544,144703488
86,25,0.010000,5,86,generated_data/data_neg_sup.txt,50,500,1.000000,540,144703488
